priority_rank,intervention_tier,id_rumah_sakit,nama_rumah_sakit,provinsi,kelas_rumah_sakit,kepemilikan,intervention_priority_score,double_inefficiency,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,digital_conversion_gap,recommended_intervention
11,Tier 2 — Early Warning,RS0070,RSUD Husada Mulia 5,Riau,D,Pemerintah Daerah,0.8171452702702703,False,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9527027027027027,0.03378378378378388,14.5,53.8,-22.765085065048176,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
12,Tier 2 — Early Warning,RS0267,RSUD Sejahtera 8,Papua Barat,C,Pemerintah Daerah,0.807466814159292,False,Kesenjangan Adopsi,Kesenjangan Infrastruktur,Kesenjangan Adopsi; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Tekanan Kapasitas; Kesenjangan Kapabilitas IT,0.9380530973451328,0.008849557522123908,27.9,45.4,-9.817842971706945,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
13,Tier 1 — Inefisiensi Ganda,RS0253,RS Citra Medika 2,Papua,A,TNI/POLRI,0.80546875,True,Kesenjangan Adopsi,Kesenjangan Infrastruktur,Kesenjangan Adopsi; Kesenjangan Infrastruktur; Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.9375,0.0625,44.6,64.2,-8.247965802836056,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
14,Tier 2 — Early Warning,RS0235,RS Permata Bunda 6,Nusa Tenggara Timur,C,Swasta,0.8051438053097344,False,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Kesenjangan Adopsi; Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif,0.9734513274336283,0.0,19.6,38.1,-7.655155759450956,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
15,Tier 1 — Inefisiensi Ganda,RS0259,RS Bhakti Husada 8,Papua,D,BUMN,0.7999155405405405,True,Tekanan Kapasitas,Gap Konversi Investasi — indikator relatif,Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.7905405405405406,0.020270270270270285,36.3,70.1,-12.320080879301557,"Optimalkan referral routing, penyeimbangan kapasitas, dan kanal virtual yang sesuai."
16,Tier 2 — Early Warning,RS0270,RS Graha Sehat 3,Papua Tengah,B,Swasta,0.7977739726027397,False,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.9863013698630136,0.0,31.9,103.6,-24.819888179323016,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
17,Tier 2 — Early Warning,RS0200,RSUD Permata Bunda 5,Sulawesi Tenggara,B,Pemerintah Daerah,0.7833904109589042,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi,0.9315068493150684,0.013698630136986245,35.3,81.1,-20.718782147947522,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
18,Tier 2 — Early Warning,RS0212,RS Bhakti Husada 9,Gorontalo,B,TNI/POLRI,0.7817636986301371,False,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,0.9794520547945206,0.06164383561643838,30.1,46.9,-16.77082265183074,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
19,Tier 2 — Early Warning,RS0237,RSUD Karya Insani 8,Nusa Tenggara Timur,C,Pemerintah Daerah,0.781028761061947,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT,0.9557522123893806,0.017699115044247815,21.4,63.0,-24.326630974533465,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
20,Tier 2 — Early Warning,RS0231,RS Bhakti Husada 2,Nusa Tenggara Timur,B,Swasta,0.7799657534246576,False,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9452054794520548,0.013698630136986356,31.3,111.2,-17.716487056430605,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
21,Tier 2 — Early Warning,RS0269,RS Graha Sehat 2,Papua Tengah,B,TNI/POLRI,0.7785102739726026,False,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Tekanan Kapasitas,0.9315068493150684,0.1095890410958904,42.8,57.4,-11.482957299726436,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
22,Tier 2 — Early Warning,RS0169,RS Harapan Bangsa 9,Kalimantan Utara,D,Swasta,0.7740709459459459,False,Kesenjangan Adopsi,Kesenjangan Infrastruktur,Kesenjangan Adopsi; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,0.9189189189189189,0.09459459459459452,26.7,50.8,-18.537779641437023,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
23,Tier 2 — Early Warning,RS0164,RS Citra Medika 4,Kalimantan Utara,C,Swasta,0.7694137168141593,False,Tekanan Kapasitas,Kesenjangan Kapabilitas IT,Tekanan Kapasitas; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9712389380530974,0.06858407079646023,30.8,39.9,-11.261350954464891,"Optimalkan referral routing, penyeimbangan kapasitas, dan kanal virtual yang sesuai."
24,Tier 2 — Early Warning,RS0217,RS Karya Insani 5,Sulawesi Barat,A,Swasta,0.765234375,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.9375,0.0625,41.6,59.1,-15.234658423244554,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
25,Tier 2 — Early Warning,RS0249,RS Citra Medika 4,Maluku Utara,C,Swasta,0.7597898230088496,False,Kesenjangan Adopsi,Kesenjangan Infrastruktur,Kesenjangan Adopsi; Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.9380530973451328,0.04424778761061943,28.1,56.8,-2.60427869902858,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
26,Tier 2 — Early Warning,RS0168,RS Sejahtera 8,Kalimantan Utara,C,Pemerintah Pusat,0.7513274336283186,False,Kesenjangan Adopsi,Kesenjangan Infrastruktur,Kesenjangan Adopsi; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,0.9380530973451328,0.053097345132743334,22.4,75.0,-12.78465816620745,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
27,Tier 2 — Early Warning,RS0202,RS Bhakti Husada 7,Sulawesi Tenggara,D,Swasta,0.7478885135135134,False,Kesenjangan Integrasi,Kesenjangan Adopsi,Kesenjangan Integrasi; Kesenjangan Adopsi; Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT; Gap Konversi Investasi — indikator relatif,1.0,0.08108108108108114,19.6,105.3,-8.476363227540439,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
28,Tier 2 — Early Warning,RS0273,RS Husada Mulia 6,Papua Tengah,C,Swasta,0.7431969026548673,False,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,1.0,0.03539823008849563,28.3,58.9,-26.724855458358856,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
29,Tier 3 — Monitoring,RS0196,RSUD Harapan Bangsa 1,Sulawesi Tenggara,C,Pemerintah Daerah,0.7338495575221239,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur; Kesenjangan Adopsi,0.911504424778761,0.008849557522123908,30.1,59.4,-17.54621114612079,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
30,Tier 3 — Monitoring,RS0251,RS Cahaya Medika 6,Maluku Utara,C,Swasta,0.7335176991150443,False,Kesenjangan Integrasi,Kesenjangan Adopsi,Kesenjangan Integrasi; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,1.0,0.06194690265486724,29.3,75.1,-18.172818628018003,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
31,Tier 3 — Monitoring,RS0221,RS Permata Bunda 9,Sulawesi Barat,C,Swasta,0.7279314159292035,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.9911504424778761,0.053097345132743334,26.5,68.6,-40.30350310672449,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
32,Tier 3 — Monitoring,RS0201,RS Permata Bunda 6,Sulawesi Tenggara,C,Swasta,0.7274336283185842,False,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.8761061946902655,0.2831858407079646,43.3,55.9,-11.603165608018863,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
33,Tier 3 — Monitoring,RS0264,RSUD Medika Utama 5,Papua Barat,B,Pemerintah Daerah,0.7257705479452055,False,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Tekanan Kapasitas,0.9726027397260274,0.0,36.4,61.9,-1.7547553080218847,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
34,Tier 3 — Monitoring,RS0132,RSUD Permata Bunda 6,Kalimantan Barat,C,Pemerintah Daerah,0.724612831858407,False,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.9734513274336283,0.23893805309734506,37.2,43.9,-8.57499541151141,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
35,Tier 3 — Monitoring,RS0255,RS Husada Mulia 4,Papua,C,Swasta,0.7227876106194691,False,Tekanan Kapasitas,Gap Konversi Investasi — indikator relatif,Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif,0.836283185840708,0.039823008849557584,49.9,77.1,-9.440741733215113,"Optimalkan referral routing, penyeimbangan kapasitas, dan kanal virtual yang sesuai."
36,Tier 3 — Monitoring,RS0204,RS Citra Medika 1,Gorontalo,B,Swasta,0.7205479452054795,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.9452054794520548,0.23287671232876717,44.1,57.9,-22.147839554525852,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
37,Tier 3 — Monitoring,RS0260,RS Permata Bunda 1,Papua Barat,A,Swasta,0.7203125,False,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,1.0,0.125,43.6,48.6,-12.441322612436593,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
38,Tier 3 — Monitoring,RS0214,RSUD Graha Sehat 2,Sulawesi Barat,D,Pemerintah Daerah,0.7149493243243243,False,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9189189189189189,0.054054054054053946,28.1,26.7,-20.666632317649388,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
39,Tier 3 — Monitoring,RS0216,RSUD Permata Bunda 4,Sulawesi Barat,D,Pemerintah Daerah,0.7098817567567568,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.972972972972973,0.05405405405405417,19.2,57.2,-24.531982380921743,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
40,Tier 3 — Monitoring,RS0229,RS Karya Insani 8,Nusa Tenggara Barat,C,Swasta,0.70945796460177,False,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.8407079646017699,0.24778761061946897,43.9,52.7,-10.072932694908005,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
41,Tier 3 — Monitoring,RS0123,RS Sentosa Medika 3,Aceh,C,Swasta,0.7078539823008849,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.8495575221238938,0.17699115044247793,38.5,17.9,-11.167817411156413,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
42,Tier 3 — Monitoring,RS0182,RSUD Sentosa Medika 4,Sulawesi Tengah,D,Pemerintah Daerah,0.7052364864864865,False,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.9594594594594594,0.4054054054054054,34.7,44.1,-24.5000753045816,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
43,Tier 3 — Monitoring,RS0206,RSUD Harapan Bangsa 3,Gorontalo,D,Pemerintah Daerah,0.7000844594594595,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,0.9459459459459459,0.027027027027027084,18.9,48.8,-24.285177600041557,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
44,Tier 3 — Monitoring,RS0094,RS Medika Utama 6,Sumatera Selatan,D,Swasta,0.6975506756756757,False,Kesenjangan Integrasi,Tekanan Kapasitas,Kesenjangan Integrasi; Tekanan Kapasitas; Kesenjangan Adopsi,1.0,0.1351351351351351,40.4,55.8,-7.600996327932442,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
45,Tier 3 — Monitoring,RS0119,RS Harapan Bangsa 6,Bangka Belitung,A,TNI/POLRI,0.69375,False,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,0.8125,0.0625,50.9,38.5,-3.3014296737032254,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
46,Tier 3 — Monitoring,RS0268,RS Bhakti Husada 1,Papua Tengah,B,Swasta,0.6782534246575342,False,Tidak ada bottleneck dominan,,Gap Konversi Investasi — indikator relatif,0.6712328767123288,0.06164383561643838,52.0,60.4,-4.584616923487559,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
47,Tier 3 — Monitoring,RS0153,RSUD Husada Mulia 3,Kalimantan Timur,C,Pemerintah Daerah,0.6771570796460177,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9380530973451328,0.10619469026548678,40.5,64.6,-19.117837396767875,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
48,Tier 3 — Monitoring,RS0220,RSUD Sejahtera 8,Sulawesi Barat,B,Pemerintah Daerah,0.6770547945205481,False,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.863013698630137,0.0,36.1,57.8,-13.435260669006631,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
49,Tier 3 — Monitoring,RS0215,RSUD Bunda Kasih 3,Sulawesi Barat,C,Pemerintah Daerah,0.676216814159292,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.8938053097345133,0.20353982300884965,37.3,51.2,-15.494328727354251,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
50,Tier 3 — Monitoring,RS0211,RS Husada Mulia 8,Gorontalo,D,Swasta,0.6749155405405406,False,Kesenjangan Integrasi,Kesenjangan Infrastruktur,Kesenjangan Integrasi; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,1.0,0.05405405405405406,15.6,15.8,-23.555218658752096,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
51,Tier 3 — Monitoring,RS0224,RS Karya Insani 3,Nusa Tenggara Barat,C,Swasta,0.6735066371681415,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.9469026548672567,0.008849557522123908,23.2,36.8,-19.58290277383293,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
52,Tier 3 — Monitoring,RS0085,RS Sentosa Medika 3,Jambi,C,Swasta,0.6719026548672565,False,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Tekanan Kapasitas; Kesenjangan Infrastruktur,1.0,0.09734513274336287,48.7,35.4,-16.928544371396526,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
53,Tier 3 — Monitoring,RS0246,RS Bunda Kasih 1,Maluku Utara,C,Swasta,0.6702433628318585,False,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi,0.9380530973451328,0.10619469026548678,37.8,38.2,-5.151538449560682,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
54,Tier 3 — Monitoring,RS0104,RS Sejahtera 6,Bengkulu,D,Swasta,0.6648648648648647,False,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.8378378378378378,0.05405405405405406,41.7,64.0,-1.5463491659455215,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
55,Tier 3 — Monitoring,RS0247,RS Sejahtera 2,Maluku Utara,B,Swasta,0.6647260273972603,False,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.863013698630137,0.013698630136986245,51.8,87.5,-12.371349409922601,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
56,Tier 3 — Monitoring,RS0140,RS Sentosa Medika 8,Kalimantan Tengah,D,TNI/POLRI,0.6617398648648649,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.7972972972972973,0.09459459459459463,46.0,69.3,-16.44147333268439,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
57,Tier 3 — Monitoring,RS0117,RSUD Medika Utama 4,Bangka Belitung,C,Pemerintah Daerah,0.6600663716814159,False,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.7699115044247787,0.23008849557522126,49.1,84.3,-9.03661820065468,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
58,Tier 3 — Monitoring,RS0210,RSUD Karya Insani 7,Gorontalo,D,Pemerintah Daerah,0.6597128378378379,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.9864864864864865,0.03378378378378377,18.0,40.8,-27.668297661597627,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
59,Tier 3 — Monitoring,RS0250,RS Cahaya Medika 5,Maluku Utara,D,Swasta,0.6594594594594596,False,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi,0.9527027027027027,0.18243243243243246,36.5,84.8,-6.351523745313585,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
60,Tier 3 — Monitoring,RS0150,RS Harapan Bangsa 10,Kalimantan Selatan,B,Swasta,0.658818493150685,False,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,1.0,0.0821917808219178,52.4,49.3,-18.930018131692016,"Prioritaskan penyelesaian RME, interoperabilitas, dan koneksi SatuSehat."
61,Tier 3 — Monitoring,RS0144,RS Sentosa Medika 4,Kalimantan Selatan,D,Swasta,0.6538851351351351,False,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi,0.8108108108108107,0.03378378378378377,43.0,23.5,-16.74607695273278,"Audit portofolio proyek, utilisasi sistem, dan realisasi manfaat investasi."
62,Tier 3 — Monitoring,RS0121,RSUD Bhakti Husada 1,Aceh,B,Pemerintah Daerah,0.6519691780821918,False,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.821917808219178,0.06849315068493145,59.4,78.3,-7.02984428327526,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
63,Tier 3 — Monitoring,RS0172,RSUD Sejahtera 2,Sulawesi Utara,C,Pemerintah Daerah,0.6475663716814158,False,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi,0.8053097345132744,0.1504424778761062,43.8,77.3,-2.6611080609391493,Lakukan pengadaan terarah berdasarkan gap terhadap peer dan target utilisasi.
